,age,height,weight,overall_rating,potential,total_attack,total_skill,total_movement,total_power,total_mentality,total_defending,total_goalkeeping,player_fifa_api_id,player_name
3259,29.0,172.72,161,77.0,77.0,335.0,393.0,393.0,392.0,357.0,227.0,62.0,164082,Adriano
3253,30.0,172.72,161,79.0,79.0,339.0,394.0,391.0,389.0,362.0,238.0,67.0,164082,Adriano
3252,31.0,172.72,161,79.0,79.0,339.0,394.0,390.0,389.0,362.0,238.0,67.0,164082,Adriano
3251,31.0,172.72,161,77.0,77.0,339.0,393.0,386.0,386.0,358.0,231.0,67.0,164082,Adriano
3250,31.0,172.72,161,77.0,77.0,339.0,393.0,386.0,386.0,358.0,231.0,67.0,164082,Adriano
3453,19.0,175.26,157,68.0,80.0,311.0,352.0,371.0,330.0,294.0,83.0,43.0,205008,Adryan
3454,19.0,175.26,157,70.0,83.0,324.0,359.0,370.0,329.0,300.0,83.0,43.0,205008,Adryan
3455,19.0,175.26,157,70.0,83.0,324.0,359.0,370.0,329.0,300.0,83.0,43.0,205008,Adryan
3456,19.0,175.26,157,70.0,83.0,324.0,359.0,370.0,329.0,300.0,83.0,43.0,205008,Adryan
3457,18.0,175.26,157,70.0,86.0,324.0,359.0,370.0,329.0,300.0,83.0,43.0,205008,Adryan
3458,18.0,175.26,157,70.0,86.0,324.0,359.0,376.0,329.0,300.0,83.0,43.0,205008,Adryan
3459,18.0,175.26,157,72.0,86.0,345.0,373.0,386.0,338.0,328.0,92.0,43.0,205008,Adryan
3461,18.0,175.26,157,72.0,86.0,348.0,372.0,389.0,349.0,328.0,92.0,43.0,205008,Adryan
3468,12.0,175.26,157,67.0,85.0,277.0,331.0,384.0,306.0,259.0,67.0,43.0,205008,Adryan
3462,18.0,175.26,157,72.0,85.0,348.0,372.0,389.0,349.0,328.0,92.0,43.0,205008,Adryan
3463,18.0,175.26,157,73.0,87.0,348.0,377.0,389.0,349.0,328.0,92.0,43.0,205008,Adryan
3465,18.0,175.26,157,73.0,87.0,350.0,380.0,390.0,344.0,331.0,92.0,43.0,205008,Adryan
3466,17.0,175.26,157,67.0,86.0,277.0,331.0,376.0,308.0,259.0,67.0,43.0,205008,Adryan
3467,17.0,175.26,157,67.0,85.0,277.0,331.0,384.0,306.0,259.0,67.0,43.0,205008,Adryan
3452,19.0,175.26,157,68.0,80.0,311.0,352.0,371.0,330.0,294.0,83.0,43.0,205008,Adryan
3460,18.0,175.26,157,72.0,86.0,345.0,373.0,386.0,344.0,328.0,92.0,43.0,205008,Adryan
3464,18.0,175.26,157,73.0,87.0,350.0,380.0,390.0,349.0,331.0,92.0,43.0,205008,Adryan
3451,19.0,175.26,157,68.0,80.0,311.0,352.0,371.0,330.0,294.0,83.0,43.0,205008,Adryan
3449,19.0,175.26,157,69.0,80.0,304.0,358.0,368.0,328.0,296.0,83.0,43.0,205008,Adryan
3450,19.0,175.26,157,68.0,80.0,311.0,352.0,371.0,330.0,294.0,83.0,43.0,205008,Adryan
3435,21.0,175.26,157,71.0,81.0,293.0,356.0,375.0,298.0,284.0,74.0,25.0,205008,Adryan
3436,21.0,175.26,157,71.0,81.0,293.0,356.0,356.0,302.0,284.0,74.0,25.0,205008,Adryan
3437,21.0,175.26,157,71.0,81.0,293.0,356.0,356.0,302.0,284.0,74.0,25.0,205008,Adryan
3438,20.0,175.26,157,68.0,78.0,288.0,339.0,348.0,298.0,272.0,79.0,20.0,205008,Adryan
3440,20.0,175.26,157,67.0,77.0,288.0,337.0,347.0,298.0,272.0,79.0,20.0,205008,Adryan
3441,20.0,175.26,157,68.0,77.0,290.0,337.0,348.0,298.0,273.0,86.0,20.0,205008,Adryan
3439,20.0,175.26,157,67.0,77.0,288.0,337.0,348.0,298.0,272.0,79.0,20.0,205008,Adryan
3443,20.0,175.26,157,68.0,77.0,297.0,337.0,350.0,301.0,274.0,86.0,20.0,205008,Adryan
3444,20.0,175.26,157,68.0,77.0,300.0,337.0,354.0,307.0,277.0,86.0,20.0,205008,Adryan
3445,20.0,175.26,157,69.0,78.0,301.0,341.0,355.0,307.0,277.0,86.0,20.0,205008,Adryan
3446,20.0,175.26,157,70.0,81.0,309.0,347.0,376.0,318.0,278.0,86.0,20.0,205008,Adryan
3447,19.0,175.26,157,70.0,82.0,304.0,358.0,368.0,328.0,301.0,83.0,25.0,205008,Adryan
3448,19.0,175.26,157,70.0,80.0,304.0,358.0,368.0,328.0,301.0,83.0,43.0,205008,Adryan
3442,20.0,175.26,157,68.0,77.0,295.0,339.0,348.0,300.0,274.0,86.0,20.0,205008,Adryan
3482,22.0,170.18,139,60.0,70.0,211.0,233.0,381.0,264.0,250.0,180.0,47.0,223293,Afonso
3485,14.0,170.18,139,58.0,68.0,211.0,225.0,378.0,264.0,250.0,175.0,47.0,223293,Afonso
3484,21.0,170.18,139,58.0,68.0,211.0,225.0,378.0,264.0,250.0,175.0,47.0,223293,Afonso
3483,22.0,170.18,139,58.0,68.0,211.0,225.0,378.0,264.0,250.0,175.0,47.0,223293,Afonso
3481,22.0,170.18,139,62.0,72.0,218.0,244.0,383.0,268.0,262.0,186.0,47.0,223293,Afonso
3478,22.0,170.18,139,73.0,82.0,262.0,295.0,396.0,306.0,292.0,218.0,52.0,223293,Afonso
3479,22.0,170.18,139,73.0,82.0,262.0,295.0,396.0,306.0,287.0,218.0,52.0,223293,Afonso
3477,22.0,170.18,139,74.0,83.0,270.0,310.0,397.0,306.0,305.0,227.0,52.0,223293,Afonso
3476,22.0,170.18,139,74.0,79.0,270.0,310.0,397.0,306.0,305.0,227.0,52.0,223293,Afonso
3480,22.0,170.18,139,71.0,81.0,262.0,289.0,389.0,306.0,280.0,214.0,52.0,223293,Afonso
3896,22.0,180.34,170,72.0,78.0,314.0,304.0,316.0,386.0,318.0,215.0,57.0,187954,Airton
3906,17.0,180.34,170,63.0,69.0,267.0,270.0,372.0,317.0,285.0,201.0,134.0,187954,Airton
3905,18.0,180.34,170,63.0,69.0,267.0,270.0,372.0,317.0,285.0,201.0,134.0,187954,Airton
3904,19.0,180.34,170,63.0,69.0,267.0,270.0,372.0,317.0,285.0,201.0,134.0,187954,Airton
3903,19.0,180.34,170,67.0,78.0,280.0,296.0,374.0,360.0,300.0,201.0,143.0,187954,Airton
